Time,BPM,HRV,Stress,Emotion,Status
13:11:16,--,0,NO FACE,Neutral,AWAKE
13:11:17,--,0,NO FACE,Neutral,AWAKE
13:11:18,--,0,NO FACE,Neutral,AWAKE
13:11:19,--,0,NO FACE,NEUTRAL,AWAKE
13:11:23,--,0,NO FACE,NEUTRAL,AWAKE
13:11:24,--,0,NO FACE,NEUTRAL,AWAKE
13:11:25,--,0,NO FACE,NEUTRAL,AWAKE
13:11:26,--,0,NO FACE,NEUTRAL,AWAKE
13:11:27,--,0,NO FACE,NEUTRAL,AWAKE
13:11:28,--,0,NO FACE,NEUTRAL,AWAKE
13:11:29,--,0,NO FACE,NEUTRAL,AWAKE
13:11:30,--,0,NO FACE,NEUTRAL,AWAKE
13:11:31,--,0,NO FACE,NEUTRAL,AWAKE
13:11:32,--,0,NO FACE,NEUTRAL,AWAKE
13:11:33,--,0,NO FACE,NEUTRAL,AWAKE
13:11:34,--,0,NO FACE,NEUTRAL,AWAKE
13:11:35,--,0,NO FACE,NEUTRAL,AWAKE
13:11:36,--,0,NO FACE,NEUTRAL,AWAKE
13:11:37,--,0,NO FACE,NEUTRAL,AWAKE
13:11:38,65,303,RELAXED,NEUTRAL,AWAKE
13:11:39,65,294,RELAXED,NEUTRAL,AWAKE
13:11:40,65,303,RELAXED,ANGRY,AWAKE
13:11:42,51,315,RELAXED,NEUTRAL,AWAKE
13:11:43,44,303,RELAXED,NEUTRAL,AWAKE
13:11:44,48,327,RELAXED,NEUTRAL,AWAKE
13:11:45,53,342,RELAXED,NEUTRAL,AWAKE
13:11:46,52,244,RELAXED,NEUTRAL,AWAKE
13:11:47,52,246,RELAXED,NEUTRAL,AWAKE
13:11:48,55,321,RELAXED,HAPPY,AWAKE
13:11:49,58,278,RELAXED,HAPPY,AWAKE
13:11:50,59,284,RELAXED,NEUTRAL,AWAKE
13:11:51,59,313,RELAXED,NEUTRAL,AWAKE
13:11:52,58,373,RELAXED,NEUTRAL,AWAKE
13:11:53,57,318,RELAXED,HAPPY,AWAKE
13:11:54,56,337,RELAXED,HAPPY,AWAKE
13:11:55,55,353,RELAXED,HAPPY,AWAKE
13:11:56,55,343,RELAXED,NEUTRAL,AWAKE
13:11:57,54,338,RELAXED,NEUTRAL,AWAKE
13:11:58,55,397,RELAXED,NEUTRAL,AWAKE
13:12:01,56,425,RELAXED,NEUTRAL,AWAKE
13:12:02,58,349,RELAXED,NEUTRAL,AWAKE
13:12:03,59,334,RELAXED,NEUTRAL,AWAKE
13:12:04,60,296,RELAXED,NEUTRAL,AWAKE
13:12:05,61,284,RELAXED,NEUTRAL,AWAKE
13:12:06,61,271,RELAXED,NEUTRAL,AWAKE
13:12:07,61,274,RELAXED,NEUTRAL,AWAKE
13:12:08,61,249,RELAXED,NEUTRAL,AWAKE
13:12:10,61,241,RELAXED,NEUTRAL,AWAKE
13:12:11,62,224,RELAXED,NEUTRAL,AWAKE
13:12:12,63,185,RELAXED,NEUTRAL,AWAKE
13:12:13,65,262,RELAXED,NEUTRAL,AWAKE
13:12:14,69,279,RELAXED,NEUTRAL,AWAKE
13:12:15,70,288,RELAXED,NEUTRAL,AWAKE
13:12:16,71,291,RELAXED,NEUTRAL,AWAKE
13:12:17,71,273,RELAXED,NEUTRAL,AWAKE
13:12:18,71,265,RELAXED,NEUTRAL,AWAKE
13:12:19,71,260,RELAXED,NEUTRAL,AWAKE
13:12:20,72,300,RELAXED,NEUTRAL,AWAKE
13:12:21,72,354,RELAXED,NEUTRAL,AWAKE
13:12:22,72,361,RELAXED,NEUTRAL,AWAKE
13:12:23,60,352,RELAXED,NEUTRAL,AWAKE
13:12:24,--,352,NO FACE,NEUTRAL,AWAKE
13:12:25,--,352,NO FACE,NEUTRAL,AWAKE
13:12:26,--,352,NO FACE,NEUTRAL,AWAKE
13:12:27,--,352,NO FACE,NEUTRAL,AWAKE
13:12:28,--,352,NO FACE,NEUTRAL,AWAKE
13:12:29,--,352,NO FACE,FEAR,AWAKE
13:12:30,--,352,NO FACE,NEUTRAL,AWAKE
13:12:31,--,352,NO FACE,NEUTRAL,AWAKE
13:12:32,--,352,NO FACE,NEUTRAL,AWAKE
13:12:33,--,352,NO FACE,NEUTRAL,AWAKE
